Name,Address,Compiler Version,Current Balance,Total Deposited Eth,Total Withdrawn Eth,# Transactions
VIToken,0x8b6c3b7c01d9db4393f9aa734750f36df1543e9a,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,6
DKING,0xbdca7934cc107519be5d8531a35b758d9459bde5,v0.5.17+commit.d19bba13,0.0,0.0,0.0,5
YFXIFinance,0xa9e13dffc9eb859917d0edec81b51f96183a4ed2,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,22
AVEC,0x0debc9f2e528fd490321467755d9ff43a9d66aac,v0.5.17+commit.d19bba13,0.0,0.0,0.0,1
OMNI,0x216685e88fdf5991655197d47f0c4145a7f580da,v0.5.17+commit.d19bba13,0.0,0.0,0.0,1
ONUS,0x388ec82af5a7731142154d7cf876a475c00a3112,v0.5.17+commit.d19bba13,0.0,0.0,0.0,1
ERC20,0xc047c42554c6495c85108ae8ee66fa4e3b88176d,v0.5.17+commit.d19bba13,0.0,0.0,0.0,1
yEearnUNI,0xeb02345d4540d9607f2da8a0235da7a75715e242,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,11
MainToken,0x4A0e230d99796a1a3bF69189AF028CC00B0017a7,v0.4.24+commit.e67f0147,0.0,0.0,0.0,2
Baroin,0x4893A1938dF49f4178c37E4E965CC8A1B3882173,v0.4.24+commit.e67f0147,0.0,0.0,0.0,6
AlienNetworkToken,0x00d14753f126286502a3aa6df97a949a951398c9,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,2
CornSwap,0x7a4803078e262c661a907908e5009db8fd3c34ca,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,12
CustomToken,0x6cFC30B19371AE6C1cece123993cF25318F839C9,v0.4.25+commit.59dbf8f1,0.0,0.0,0.0,2
HDT,0x1cc945Be7d0D2C852d0096A8b5714b44eD21D5D3,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,7
MCT,0x39a97cb3dcdc51699bb7925895132de744faac17,v0.4.24+commit.e67f0147,0.0,0.0,0.0,177
